r1c1  battery_large_01  (Battery Mk-L)
r1c2  battery_medium_01  (Battery Mk-M)
r1c3  battery_small_01  (Battery Mk-S)
r1c4  cargo_hold_internal_01  (Cargo Hold (Physical))
r1c5  corsair_armor_wings  (Iron Core Corsair Armor Wings)
r1c6  corsair_bottom_engines  (Iron Core Corsair Bottom Engines)
r1c7  corsair_cargo_bays  (Iron Core Corsair Cargo Bays)
r1c8  corsair_front_cannon_mounts  (Iron Core Corsair Front Cannon Mounts)
r1c9  corsair_front_weapon_hardpoints  (Iron Core Corsair Front Weapon Hardpoints)
r1c10  corsair_main_hull  (Iron Core Corsair Main Hull)
r2c1  corsair_small_wings  (Iron Core Corsair Small Wings)
r2c2  corsair_thrusters  (Iron Core Corsair Thrusters)
r2c3  corsair_top_engines  (Iron Core Corsair Top Engines)
r2c4  corsair_turret_mounts  (Iron Core Corsair Turret Mounts)
r2c5  drone_constructor_01  (Construction Drone)
r2c6  drone_miner_cb11  (CB11 Loader Drone)
r2c7  drone_ore_gatherer_t1  (Mining Drone T1)
r2c8  drone_ore_gatherer_t2  (Mining Drone T2)
r2c9  drone_ore_gatherer_t3  (Mining Drone T3)
r2c10  drone_ore_gatherer_t4  (Mining Drone T4)
r3c1  drone_zr7_research  (ZR7 Research Drone)
r3c2  gas_tank_internal_01  (Gas Tank)
r3c3  marauder_hull  (Marauder Cruiser MK1)
r3c4  marauder_hull_ext  (Smuggler Marauder Hull Extension)
r3c5  marauder_rear_engine_bottom  (Smuggler Marauder Rear Engine (Bottom))
r3c6  marauder_rear_engine_top  (Smuggler Marauder Rear Engine (Top))
r3c7  marauder_sensor_array  (Marauder Internal Sensor Array)
r3c8  marauder_wing_engine  (Smuggler Marauder Wing Engine)
r3c9  reactor_large_01  (Reactor Mk-L)
r3c10  reactor_medium_01  (Reactor Mk-M)
r4c1  reactor_small_01  (Reactor Mk-S)
r4c2  scanner_array_01  (Scanner)
r4c3  shippart_bomber_engine_pod_mk1  (Bomber Engine Pod)
r4c4  shippart_bomber_hull_mk1  (Bomber Hull)
r4c5  shippart_bomber_missile_launcher_mk1  (Bomber Missile Launcher)
r4c6  shippart_bomber_plasma_cannon_mk1  (Bomber Front Mounted Weapon)
r4c7  shippart_bomber_rear_engine_mk1  (Bomber Rear Engine)
r4c8  shippart_bomber_wing_mk1  (Bomber Wing)
r4c9  shippart_cargoship_cockpit_mk1  (CargoShip Cockpit)
r4c10  shippart_cargoship_drive_section_mk1  (CargoShip Drive Section)
r5c1  shippart_cargoship_engine_wing_mk1  (CargoShip Extra Cargo Pod)
r5c2  shippart_cargoship_midframe_mk1  (CargoShip Midframe)
r5c3  shippart_destroyer_cockpit_mk1  (Destroyer Cockpit)
r5c4  shippart_destroyer_drive_section_mk1  (Destroyer Drive Section)
r5c5  shippart_destroyer_engine_nacelle_mk1  (Destroyer Engine Nacelle)
r5c6  shippart_destroyer_midframe_mk1  (Destroyer Midframe)
r5c7  shippart_destroyer_weapon_pod_mk1  (Destroyer Weapon Pod)
r5c8  shippart_fighter_cannon_socket_mk1  (Fighter Front Mounted Weapon)
